label,species,comparison,ratio
01,Bovine,A/B,0.4426090389963119
01,Bovine,B/C,0.48768859111547086
01,Bovine,A/C,0.21585537864308385
01,Human,A/B,2.8219418085065997
01,Human,B/C,2.374487151308031
01,Human,A/C,6.70066456603787
01,Trout,A/B,1.4296081355895514
01,Trout,B/C,0.7019638264256196
01,Trout,A/C,1.0035331971476376
02,Bovine,A/B,0.8132562394794697
02,Bovine,B/C,0.6535864460343196
02,Bovine,A/C,0.5315332552766221
02,Human,A/B,1.5290033959495175
02,Human,B/C,1.6319972096787343
02,Human,A/C,2.4953292757789214
02,Trout,A/B,1.0677503517050757
02,Trout,B/C,0.9974052704385675
02,Trout,A/C,1.0649798283032765
03,Bovine,A/B,0.8861659180569496
03,Bovine,B/C,0.9879950275141991
03,Bovine,A/C,0.8755275205928214
03,Human,A/B,1.431453039484011
03,Human,B/C,1.5493256089191605
03,Human,A/C,2.217786852037748
03,Trout,A/B,0.9470436678138422
03,Trout,B/C,1.1098196577008934
03,Trout,A/C,1.0510476792409569
04,Bovine,A/B,0.4939234996610144
04,Bovine,B/C,0.8143484513590451
04,Bovine,A/C,0.4022258370387869
04,Human,A/B,1.2465802723075976
04,Human,B/C,1.2603120896040745
04,Human,A/C,1.5710801878512046
04,Trout,A/B,1.0511918102915427
04,Trout,B/C,1.111471885580374
04,Trout,A/C,1.1683701434913878
06,Bovine,A/B,0.5068152376112589
06,Bovine,B/C,0.9669925600141289
06,Bovine,A/C,0.4900865640718803
06,Human,A/B,1.0791936747449367
06,Human,B/C,2.6271971410556727
06,Human,A/C,2.8352545369352633
06,Trout,A/B,1.0011235482201049
06,Trout,B/C,1.0108816862251118
06,Trout,A/C,1.0120174605444066
07A,Bovine,A/B,0.7926586002869064
07A,Bovine,B/C,0.6753293950851074
07A,Bovine,A/C,0.5353056530407644
07A,Human,A/B,1.704131399821502
07A,Human,B/C,1.0396086498626276
07A,Human,A/C,1.771629743756941
07A,Trout,A/B,1.2194293866356898
07A,Trout,B/C,0.8524958817237007
07A,Trout,A/C,1.039558530159784
07B,Bovine,A/B,0.898873982614346
07B,Bovine,B/C,0.6187593853612378
07B,Bovine,A/C,0.5561867129996607
07B,Human,A/B,1.7693313967774296
07B,Human,B/C,1.0403751253287523
07B,Human,A/C,1.8407683736704146
07B,Trout,A/B,1.268269601308377
07B,Trout,B/C,0.8313369420097176
07B,Trout,A/C,1.0543593719955897
09,Bovine,A/B,0.6953304122349014
09,Bovine,B/C,0.938925443634493
09,Bovine,A/C,0.6528634157802098
09,Human,A/B,1.0859626613365063
09,Human,B/C,1.2688286740064498
09,Human,A/C,1.3779005636041148
09,Trout,A/B,0.9196521122085826
09,Trout,B/C,1.1924674031439777
09,Trout,A/C,1.0966551660412425
10A,Bovine,A/B,0.26905538104046184
10A,Bovine,B/C,0.636658170716833
10A,Bovine,A/C,0.17129630671474086
10A,Human,A/B,2.36699431704318
10A,Human,B/C,3.6255711612670587
10A,Human,A/C,8.581706334754772
10A,Trout,A/B,1.0216567584741807
10A,Trout,B/C,1.0242234059836002
10A,Trout,A/C,1.0464047649105899
10B,Bovine,A/B,0.15529549122222788
10B,Bovine,B/C,0.6307436201836395
10B,Bovine,A/C,0.09795164033170463
10B,Human,A/B,2.4510059565621662
10B,Human,B/C,6.418132541109634
10B,Human,A/C,15.730881088265185
10B,Trout,A/B,0.9957774061504607
10B,Trout,B/C,1.0320986622370982
10B,Trout,A/C,1.0277405287738182
11,Bovine,A/B,0.8802033480431356
11,Bovine,B/C,0.9377775956051433
11,Bovine,A/C,0.8254349793714888
11,Human,A/B,1.854755550589663
11,Human,B/C,2.1499122355236318
11,Human,A/C,3.9875616521180866
11,Trout,A/B,0.973651308950028
11,Trout,B/C,1.1366400160228436
11,Trout,A/C,1.1066910394056224
12,Bovine,A/B,0.2747948325801324
12,Bovine,B/C,0.7581730276677279
12,Bovine,A/C,0.2083420302047254
12,Human,A/B,1.9770094403454934
12,Human,B/C,3.5283540343943223
12,Human,A/C,6.975589234878683
12,Trout,A/B,0.9674867712654591
12,Trout,B/C,1.1668160378936592
12,Trout,A/C,1.128879081162492
14A,Bovine,A/B,0.8835323753321513
14A,Bovine,B/C,0.8165751801530148
14A,Bovine,A/C,0.7214706085578726
14A,Human,A/B,1.980070198299331
14A,Human,B/C,2.491746176657762
14A,Human,A/C,4.9338323461263345
14A,Trout,A/B,1.0269072843922402
14A,Trout,B/C,1.0067632802560933
14A,Trout,A/C,1.0338525461536086
14B,Bovine,A/B,0.9160605146969713
14B,Bovine,B/C,0.7135225398887778
14B,Bovine,A/C,0.6536298251384041
14B,Human,A/B,2.189367437515621
14B,Human,B/C,2.3213510750756754
14B,Human,A/C,5.082290454812562
14B,Trout,A/B,1.112167889565014
14B,Trout,B/C,0.9203585067568861
14B,Trout,A/C,1.0235931781030139
41,Bovine,A/B,0.3269004471640386
41,Bovine,B/C,0.7233571671773918
41,Bovine,A/C,0.23646578140960164
41,Human,A/B,2.0238374364986322
41,Human,B/C,4.577817531305904
41,Human,A/C,9.264758497316636
41,Trout,A/B,0.9471528062269562
41,Trout,B/C,1.0293063461943917
41,Trout,A/C,0.974910394265233
