label,species,comparison,ratio
01,Bovine,A/B,0.44
01,Human,A/B,2.82
01,Trout,A/B,1.43
01,Bovine,B/C,0.49
01,Human,B/C,2.37
01,Trout,B/C,0.7
01,Bovine,A/C,0.22
01,Human,A/C,6.7
01,Trout,A/C,1.0
02,Bovine,A/B,0.8659754
02,Human,A/B,1.462958
02,Trout,A/B,1.067731
02,Bovine,B/C,0.6495772
02,Human,B/C,1.490866
02,Trout,B/C,0.9960498
02,Bovine,A/C,0.5625178
02,Human,A/C,2.181074
02,Trout,A/C,1.063513
03,Bovine,A/B,0.89
03,Human,A/B,1.43
03,Trout,A/B,0.95
03,Bovine,B/C,0.99
03,Human,B/C,1.55
03,Trout,B/C,1.11
03,Bovine,A/C,0.88
03,Human,A/C,2.22
03,Trout,A/C,1.05
04,Bovine,A/B,0.515935
04,Human,A/B,1.218286
04,Trout,A/B,1.046747
04,Bovine,B/C,0.8149742
04,Human,B/C,1.2166
04,Trout,B/C,1.104401
04,Bovine,A/C,0.4204737
04,Human,A/C,1.482167
04,Trout,A/C,1.156029
06,Bovine,A/B,0.91
06,Human,A/B,1.06
06,Trout,A/B,1.01
06,Bovine,B/C,0.96
06,Human,B/C,1.06
06,Trout,B/C,0.994
06,Bovine,A/C,0.88
06,Human,A/C,1.12
06,Trout,A/C,1.01
07A,Bovine,A/B,0.21
07A,Human,A/B,2.69
07A,Trout,A/B,1.2
07A,Bovine,B/C,0.53
07A,Human,B/C,1.31
07A,Trout,B/C,0.86
07A,Bovine,A/C,0.11
07A,Human,A/C,2.59
07A,Trout,A/C,1.03
07B,Bovine,A/B,0.23
07B,Human,A/B,2.78
07B,Trout,A/B,1.23
07B,Bovine,B/C,0.52
07B,Human,B/C,1.25
07B,Trout,B/C,0.84
07B,Bovine,A/C,0.12
07B,Human,A/C,2.6
07B,Trout,A/C,1.05
09,Bovine,A/B,0.7
09,Human,A/B,1.1
09,Trout,A/B,0.9
09,Bovine,B/C,0.9
09,Human,B/C,1.3
09,Trout,B/C,1.2
09,Bovine,A/C,0.6
09,Human,A/C,1.4
09,Trout,A/C,1.1
10A,Bovine,A/B,0.31
10A,Human,A/B,1.72
10A,Trout,A/B,0.92
10A,Bovine,B/C,0.75
10A,Human,B/C,2.69
10A,Trout,B/C,1.11
10A,Bovine,A/C,0.23
10A,Human,A/C,4.63
10A,Trout,A/C,1.02
10B,Bovine,A/B,0.23
10B,Human,A/B,1.92
10B,Trout,A/B,0.92
10B,Bovine,B/C,0.73
10B,Human,B/C,3.35
10B,Trout,B/C,1.06
10B,Bovine,A/C,0.17
10B,Human,A/C,6.43
10B,Trout,A/C,0.98
11,Bovine,A/B,0.21
11,Human,A/B,2.02
11,Trout,A/B,0.96
11,Bovine,B/C,0.69
11,Human,B/C,4.89
11,Trout,B/C,1.06
11,Bovine,A/C,0.14
11,Human,A/C,10.5
11,Trout,A/C,1.01
12,Bovine,A/B,0.23
12,Human,A/B,2.05
12,Trout,A/B,0.96
12,Bovine,B/C,0.75
12,Human,B/C,4.39
12,Trout,B/C,1.14
12,Bovine,A/C,0.17
12,Human,A/C,9.26
12,Trout,A/C,1.1
14A,Bovine,A/B,0.21
14A,Human,A/B,2.84
14A,Trout,A/B,1.15
14A,Bovine,B/C,0.62
14A,Human,B/C,2.94
14A,Trout,B/C,0.93
14A,Bovine,A/C,0.14
14A,Human,A/C,9.63
14A,Trout,A/C,1.09
14B,Bovine,A/B,0.19
14B,Human,A/B,2.8
14B,Trout,A/B,1.11
14B,Bovine,B/C,0.61
14B,Human,B/C,3.68
14B,Trout,B/C,0.95
14B,Bovine,A/C,0.11
14B,Human,A/C,11.65
14B,Trout,A/C,1.06
41,Bovine,A/B,0.329
41,Human,A/B,2.035
41,Trout,A/B,0.982
41,Bovine,B/C,0.713
41,Human,B/C,4.582
41,Trout,B/C,1.007
41,Bovine,A/C,0.234
41,Human,A/C,9.323
41,Trout,A/C,0.989
